0,1,2,3,4,5,6
Shell size,"Length
(mm)","ØA typ
(mm)",A thread,"ØK typ
(mm)","ØL typ
(mm)","ØM typ
(mm)"
A (9),38.1,19.3,M12 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
B (11),38.1,21.8,M15 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
C (13),38.1,25.6,M18 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
D (15),38.1,29.4,M22 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
E (17),50.8,32.0,M25 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
F (19),50.8,35.8,M28 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
G 21),50.8,38.4,M31 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
H (23),50.8,42.1,M34 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
J (25),50.8,44.7,M37 x 1.0 - 6H,See Para 3.,"ØL typ
(mm)","ØM typ
(mm)"
