0,1
H,General updates have been done.
J,"Para 3.2, pin numbering has been updated for the four poles connector."
K,"Para 2.3.3.2 & 7.2 has been removed and placed in 15181-
RNT181XXXX."
L,Product code RNT18101/40 has been added.
M,Product code RNT18101/101 has been added.
N,Updated para 8 with correct crimp AWG for RNT18101/34.
S,"Document changed owner // u044582 2019-12-12
Product code RNT18101/161 has been added."
T,Product code RNT18101/36 has been added.
U,Product code RNT18114/30 has been added.
V,Product code RNT18114/08 has been added.
X,"Product codes RNT18101/061 and RNT18101/121 have been added.
Document updated to new layout."
Y,Product code RNT18101/261 has been added.
Z,Product codes RNT18101/141 and /22 have been added.
